Date,Close,High,Low,Open,Volume
2024-10-23,3807.773193359375,3852.066320525731,3741.192671772974,3745.359984263881,1966476
2024-10-24,3790.58935546875,3819.7125309359994,3749.480013206115,3749.480013206115,2676744
2024-10-25,3799.626220703125,3831.8863126796623,3776.3557541640885,3799.1580039005003,1759676
2024-10-28,3830.80908203125,3871.216096182637,3793.492115538428,3810.3010511703237,1532534
2024-10-29,3816.20068359375,3842.654930403522,3802.013807284174,3835.4913054593726,1445885
2024-10-30,3825.0029296875,3845.9323094526803,3801.96680320989,3815.966438037417,1935002
2024-10-31,3716.18994140625,3819.0572656752893,3708.2771230674366,3811.284820930421,3740372
2024-11-01,3730.9384765625,3744.7508713227357,3723.306634635094,3736.22946325371,154895
2024-11-04,3712.162841796875,3738.148871941436,3664.498467142464,3714.176311035008,2269192
2024-11-05,3718.905517578125,3732.624177811658,3690.578402330056,3690.578402330056,967590
2024-11-06,3876.507080078125,3886.011789226445,3722.557494863472,3749.105477634464,3792017
2024-11-07,3887.0419921875,3938.4521034399195,3825.377979126114,3904.6472175492813,3724349
2024-11-08,3883.390380859375,3904.6942465850925,3855.905961540454,3890.8818501255614,1648039
2024-11-11,3931.80419921875,3965.1408717888557,3855.905976573986,3865.785626053087,1406487
2024-11-12,3930.586181640625,3949.8768046624846,3899.6372349991407,3948.0039375194488,1587640
2024-11-13,3886.527587890625,3929.978018888302,3868.4541436479867,3912.513622327785,1098813
2024-11-14,3882.359375,3895.5631781823226,3854.7816840578857,3872.1523417749772,1825432
2024-11-18,3763.99462890625,3945.1945196123975,3736.557080351516,3945.1945196123975,3313944
2024-11-19,3782.770263671875,3869.48387485758,3758.9380751010713,3764.369206895897,1776233
2024-11-21,3813.953369140625,3832.3073290355883,3768.208500051012,3787.779869251299,2384347
2024-11-22,3974.7861328125,3984.4783119791628,3796.301797976082,3812.2211691072102,3096553
2024-11-25,4040.80419921875,4052.977834453394,3981.902624801247,4007.935292636629,4052167
2024-11-26,4076.014892578125,4089.0312287410247,4036.0289932053224,4046.376402042447,2060669
2024-11-27,4057.14501953125,4099.144155960028,4049.185334306465,4081.8672312002336,1558993
2024-11-28,3975.066650390625,4064.0749328901306,3963.9231826910855,4044.4564672909987,2558544
2024-11-29,3999.36767578125,4025.4474439273813,3928.9476836325452,3951.7499340608533,2017425
2024-12-02,4004.798828125,4015.61491099407,3961.1609291279406,3998.571635878377,1670944
2024-12-03,4029.2392578125,4050.074903268622,3994.3104710236757,4040.1019779033772,2010905
2024-12-04,4077.6064453125,4108.0876338534845,4016.41041706955,4039.353040657334,3302642
2024-12-05,4180.2861328125,4203.65033349106,4082.850401875924,4121.056708977947,3746747
2024-12-06,4162.9150390625,4181.175491938829,4132.246842565077,4169.93829016878,1842087
2024-12-09,4169.142578125,4185.296057017253,4134.869018418065,4148.822244241094,2066639
2024-12-10,4150.78857421875,4208.145132266229,4131.638781428679,4144.795490622383,2087828
2024-12-11,4146.01318359375,4165.86530184749,4126.862933306924,4150.13340004317,1635256
2024-12-12,4171.765625,4199.905275666618,4144.655685641126,4148.448059347358,1914642
2024-12-13,4189.51025390625,4209.175359798749,4115.063781598932,4153.036438989519,1967048
2024-12-16,4134.54150390625,4190.540046094315,4117.498230765743,4175.557109616659,1646224
2024-12-17,4053.35302734375,4151.163704339607,4043.520474083473,4129.672369316377,3225027
